,col,high,low
Precentral_L,Precentral_L,1.7676144901728654,0.6212584695443018
Precentral_R,Precentral_R,1.6695871912530946,0.574416763390464
Frontal_Sup_2_L,Frontal_Sup_2_L,1.784711588137394,0.550950928596297
Frontal_Sup_2_R,Frontal_Sup_2_R,1.8090823705915489,0.5287796572649786
Frontal_Mid_2_L,Frontal_Mid_2_L,1.8626469000770527,0.5197771103643762
Frontal_Mid_2_R,Frontal_Mid_2_R,1.7734873211895672,0.506278185192927
Frontal_Inf_Oper_L,Frontal_Inf_Oper_L,1.6861052730810344,0.6585574701376025
Frontal_Inf_Oper_R,Frontal_Inf_Oper_R,1.6696216213976691,0.6101846246686806
Frontal_Inf_Tri_L,Frontal_Inf_Tri_L,1.7569548659632552,0.6428182827665032
Frontal_Inf_Tri_R,Frontal_Inf_Tri_R,1.5257992119017962,0.5539725925148442
Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_L,1.8144792827864074,0.6134770693429559
Frontal_Inf_Orb_2_R,Frontal_Inf_Orb_2_R,1.6114841473621802,0.4755648691946075
Rolandic_Oper_L,Rolandic_Oper_L,1.824953836256283,0.6854537809847159
Rolandic_Oper_R,Rolandic_Oper_R,1.7472056737108526,0.6530881203728733
Supp_Motor_Area_L,Supp_Motor_Area_L,1.9472006091991823,0.4375725739592742
Supp_Motor_Area_R,Supp_Motor_Area_R,1.8664584159464492,0.5816563084616941
Olfactory_L,Olfactory_L,1.5965999337386183,0.43785470334032106
Olfactory_R,Olfactory_R,1.5902795856193581,0.5209771056181838
Frontal_Sup_Medial_L,Frontal_Sup_Medial_L,1.791640746419962,0.37929572414336343
Frontal_Sup_Medial_R,Frontal_Sup_Medial_R,1.7937020701939068,0.48526391180355954
Frontal_Med_Orb_L,Frontal_Med_Orb_L,1.782091687159021,0.679934126932356
Frontal_Med_Orb_R,Frontal_Med_Orb_R,1.7760418967919946,0.7169764319786018
Rectus_L,Rectus_L,1.750822283245505,0.6478359771860922
Rectus_R,Rectus_R,1.8125981765043215,0.687381147995551
OFCmed_L,OFCmed_L,1.763040743223157,0.5193502867192554
OFCmed_R,OFCmed_R,1.727814692574344,0.4052383376961375
OFCant_L,OFCant_L,1.8425464558417834,0.19327927369090458
OFCant_R,OFCant_R,1.768484334455589,0.0673913620075679
OFCpost_L,OFCpost_L,1.822675173379563,0.37774221965078913
OFCpost_R,OFCpost_R,1.6241524773259295,0.3136692973094173
OFClat_L,OFClat_L,2.158034062150635,-0.3961948574296018
OFClat_R,OFClat_R,1.3751168332037969,-0.23614258509366137
Insula_L,Insula_L,1.7662291452448637,0.6448479059931067
Insula_R,Insula_R,1.8225158773655292,0.6268507548592859
Cingulate_Mid_L,Cingulate_Mid_L,1.9394940647195313,0.6899211075109024
Cingulate_Mid_R,Cingulate_Mid_R,1.8515934841138442,0.7188108627008711
Cingulate_Post_L,Cingulate_Post_L,2.1342059172293197,0.6115439196388095
Cingulate_Post_R,Cingulate_Post_R,1.878588597447163,0.408052415134625
Hippocampus_L,Hippocampus_L,1.3552232558581383,0.5420752063981873
Hippocampus_R,Hippocampus_R,1.3519669618991266,0.5002357714591318
ParaHippocampal_L,ParaHippocampal_L,1.299372310856382,0.5247044460381638
ParaHippocampal_R,ParaHippocampal_R,1.4141516669242176,0.6276129638106227
Amygdala_L,Amygdala_L,1.306966599489837,0.5282693372912348
Amygdala_R,Amygdala_R,1.2385266774867596,0.5292104600239512
Calcarine_L,Calcarine_L,2.0928744980381717,0.579515273068774
Calcarine_R,Calcarine_R,2.0224434644945943,0.6828128822819362
Cuneus_L,Cuneus_L,1.881202427706737,0.6649633644578319
Cuneus_R,Cuneus_R,1.922522093544891,0.6930651372550485
Lingual_L,Lingual_L,2.01639757983557,0.6497716950973786
Lingual_R,Lingual_R,1.9485788493451905,0.6651591581463121
Occipital_Sup_L,Occipital_Sup_L,1.6939015281395897,0.5011825109043142
Occipital_Sup_R,Occipital_Sup_R,1.7261048310360496,0.44800788716844164
Occipital_Mid_L,Occipital_Mid_L,1.793376945194515,0.6277751485598482
Occipital_Mid_R,Occipital_Mid_R,1.7370728067822163,0.3404830623089148
Occipital_Inf_L,Occipital_Inf_L,1.8881728981199797,0.6211227339372583
Occipital_Inf_R,Occipital_Inf_R,1.7011725987328596,0.2694515123269472
Fusiform_L,Fusiform_L,1.6476779974528892,0.6830669485029917
Fusiform_R,Fusiform_R,1.6401828248825716,0.6972713092341465
Postcentral_L,Postcentral_L,1.680380857882956,0.5721483514721561
Postcentral_R,Postcentral_R,1.5067728565583032,0.5161787536105586
Parietal_Sup_L,Parietal_Sup_L,1.687657766364722,0.3114609364144487
Parietal_Sup_R,Parietal_Sup_R,1.391523644453167,0.18217839259940038
Parietal_Inf_L,Parietal_Inf_L,1.8507550361260554,0.5807258546864811
Parietal_Inf_R,Parietal_Inf_R,1.7144223176343318,0.42778139564209994
SupraMarginal_L,SupraMarginal_L,1.7428295850971096,0.6580637935803757
SupraMarginal_R,SupraMarginal_R,1.6594422524808259,0.5060232847154842
Angular_L,Angular_L,1.9048601879787608,0.600922427809671
Angular_R,Angular_R,1.6715905777920217,0.4796134956353728
Precuneus_L,Precuneus_L,1.8458839109601883,0.6417802930354126
Precuneus_R,Precuneus_R,1.8382205877164817,0.700896058663625
