,col,high,low
17Networks_LH_VisCent_ExStr_1,17Networks_LH_VisCent_ExStr_1,2.010277411114566,0.7075178059031288
17Networks_LH_VisCent_ExStr_2,17Networks_LH_VisCent_ExStr_2,1.788864090478814,-0.24734057646580576
17Networks_LH_VisCent_Striate_1,17Networks_LH_VisCent_Striate_1,2.2528436265808063,0.17356205279584658
17Networks_LH_VisCent_ExStr_3,17Networks_LH_VisCent_ExStr_3,1.782392514844011,0.2581668375926012
17Networks_LH_VisCent_ExStr_4,17Networks_LH_VisCent_ExStr_4,1.536568450070796,0.36440551510748165
17Networks_LH_VisCent_ExStr_5,17Networks_LH_VisCent_ExStr_5,1.764296259555906,0.5414486479286338
17Networks_LH_VisPeri_ExStrInf_1,17Networks_LH_VisPeri_ExStrInf_1,1.907343459262461,0.6307793820815102
17Networks_LH_VisPeri_ExStrInf_2,17Networks_LH_VisPeri_ExStrInf_2,2.159392115727754,0.6238362778314568
17Networks_LH_VisPeri_ExStrInf_3,17Networks_LH_VisPeri_ExStrInf_3,1.5721541480481291,0.5717224900721591
17Networks_LH_VisPeri_StriCal_1,17Networks_LH_VisPeri_StriCal_1,2.2610268461395933,0.671607076873455
17Networks_LH_VisPeri_ExStrSup_1,17Networks_LH_VisPeri_ExStrSup_1,2.089083395230768,0.8390396027672842
17Networks_LH_VisPeri_ExStrSup_2,17Networks_LH_VisPeri_ExStrSup_2,1.6943895931954136,0.5323820853186276
17Networks_LH_SomMotA_1,17Networks_LH_SomMotA_1,1.7808783995691728,0.682580761786951
17Networks_LH_SomMotA_2,17Networks_LH_SomMotA_2,1.5772615235247387,0.020839943139022488
17Networks_LH_SomMotA_3,17Networks_LH_SomMotA_3,1.839676453974198,0.39852219615568196
17Networks_LH_SomMotA_4,17Networks_LH_SomMotA_4,1.8213687916129397,0.3073273327298949
17Networks_LH_SomMotA_5,17Networks_LH_SomMotA_5,1.7809945035381274,0.1814645190613935
17Networks_LH_SomMotA_6,17Networks_LH_SomMotA_6,1.8636310574091823,0.3366334022990307
17Networks_LH_SomMotA_7,17Networks_LH_SomMotA_7,1.9133064102474608,0.4214413804323258
17Networks_LH_SomMotA_8,17Networks_LH_SomMotA_8,1.9918784157504856,0.3423589314380635
17Networks_LH_SomMotB_Aud_1,17Networks_LH_SomMotB_Aud_1,1.7040352656027455,0.5072142428626123
17Networks_LH_SomMotB_Aud_2,17Networks_LH_SomMotB_Aud_2,2.0079863774008513,0.4917890949203687
17Networks_LH_SomMotB_S2_1,17Networks_LH_SomMotB_S2_1,1.881055114195657,0.6324366562584944
17Networks_LH_SomMotB_S2_2,17Networks_LH_SomMotB_S2_2,1.7130025941814866,0.525146888827555
17Networks_LH_SomMotB_Aud_3,17Networks_LH_SomMotB_Aud_3,1.831111964122032,0.5106141977084693
17Networks_LH_SomMotB_S2_3,17Networks_LH_SomMotB_S2_3,1.8980377444202459,0.6364450605307328
17Networks_LH_SomMotB_Cent_1,17Networks_LH_SomMotB_Cent_1,1.733315608406677,0.46431716872210527
17Networks_LH_SomMotB_Cent_2,17Networks_LH_SomMotB_Cent_2,1.7275301616255785,0.4518313351784189
17Networks_LH_DorsAttnA_TempOcc_1,17Networks_LH_DorsAttnA_TempOcc_1,1.6578677847538572,0.679956736827827
17Networks_LH_DorsAttnA_TempOcc_2,17Networks_LH_DorsAttnA_TempOcc_2,1.6556113619046249,0.6431235568099378
17Networks_LH_DorsAttnA_ParOcc_1,17Networks_LH_DorsAttnA_ParOcc_1,1.7623050662238062,0.6123027279635711
17Networks_LH_DorsAttnA_SPL_1,17Networks_LH_DorsAttnA_SPL_1,2.0879228141092474,0.6698304207696264
17Networks_LH_DorsAttnA_SPL_2,17Networks_LH_DorsAttnA_SPL_2,1.6439353516590203,0.11978270979390082
17Networks_LH_DorsAttnA_SPL_3,17Networks_LH_DorsAttnA_SPL_3,1.698101478256853,0.09820463899415866
17Networks_LH_DorsAttnB_PostC_1,17Networks_LH_DorsAttnB_PostC_1,1.7356230836995175,0.4280321212144724
17Networks_LH_DorsAttnB_PostC_2,17Networks_LH_DorsAttnB_PostC_2,1.7747651068919845,0.6022166319191828
17Networks_LH_DorsAttnB_PostC_3,17Networks_LH_DorsAttnB_PostC_3,1.7338602201144098,0.1854036816043343
17Networks_LH_DorsAttnB_PostC_4,17Networks_LH_DorsAttnB_PostC_4,1.7245221331667648,0.1078149352815907
17Networks_LH_DorsAttnB_FEF_1,17Networks_LH_DorsAttnB_FEF_1,2.0323688432218256,0.6360133493015918
17Networks_LH_SalVentAttnA_ParOper_1,17Networks_LH_SalVentAttnA_ParOper_1,1.6071427560025353,0.34336541529994324
17Networks_LH_SalVentAttnA_Ins_1,17Networks_LH_SalVentAttnA_Ins_1,1.6922557527269078,0.5224508521538622
17Networks_LH_SalVentAttnA_FrOper_1,17Networks_LH_SalVentAttnA_FrOper_1,1.816700084146985,0.6829445615169791
17Networks_LH_SalVentAttnA_FrOper_2,17Networks_LH_SalVentAttnA_FrOper_2,1.9006709488556994,0.4674873077272774
17Networks_LH_SalVentAttnA_ParMed_1,17Networks_LH_SalVentAttnA_ParMed_1,1.7228203205041668,0.7451114597869202
17Networks_LH_SalVentAttnA_FrMed_1,17Networks_LH_SalVentAttnA_FrMed_1,1.8121865223386822,0.5948113561521196
17Networks_LH_SalVentAttnA_FrMed_2,17Networks_LH_SalVentAttnA_FrMed_2,1.9719645749712504,0.4189232275826966
17Networks_LH_SalVentAttnB_IPL_1,17Networks_LH_SalVentAttnB_IPL_1,1.5244335737847952,0.3148930010868174
17Networks_LH_SalVentAttnB_PFCl_1,17Networks_LH_SalVentAttnB_PFCl_1,1.8626834279186795,0.46928373615626473
17Networks_LH_SalVentAttnB_Ins_1,17Networks_LH_SalVentAttnB_Ins_1,1.9703706100715164,0.6466144613550489
17Networks_LH_SalVentAttnB_PFCmp_1,17Networks_LH_SalVentAttnB_PFCmp_1,1.7905237835717065,0.5608153955796316
17Networks_LH_LimbicB_OFC_1,17Networks_LH_LimbicB_OFC_1,1.6797637541456476,0.5401466268350077
17Networks_LH_LimbicB_OFC_2,17Networks_LH_LimbicB_OFC_2,1.679977666504672,0.514638756666038
17Networks_LH_LimbicA_TempPole_1,17Networks_LH_LimbicA_TempPole_1,1.28654821479678,0.40254381886269175
17Networks_LH_LimbicA_TempPole_2,17Networks_LH_LimbicA_TempPole_2,1.5255018088845573,0.4199123535369198
17Networks_LH_LimbicA_TempPole_3,17Networks_LH_LimbicA_TempPole_3,1.3172418095220118,0.2949225467305773
17Networks_LH_LimbicA_TempPole_4,17Networks_LH_LimbicA_TempPole_4,1.477625489944605,0.3730390532552694
17Networks_LH_ContA_Temp_1,17Networks_LH_ContA_Temp_1,1.5984291596463036,0.3821840280273263
17Networks_LH_ContA_IPS_1,17Networks_LH_ContA_IPS_1,1.9221907332337635,0.39605672871787645
17Networks_LH_ContA_IPS_2,17Networks_LH_ContA_IPS_2,1.8443766819147422,0.5148824501423603
17Networks_LH_ContA_IPS_3,17Networks_LH_ContA_IPS_3,1.8758161246563025,0.5935785874346176
17Networks_LH_ContA_PFCd_1,17Networks_LH_ContA_PFCd_1,1.9036048575619244,0.44613495485624366
17Networks_LH_ContA_PFClv_1,17Networks_LH_ContA_PFClv_1,1.8638503086685567,0.4898117113748297
17Networks_LH_ContA_PFCl_1,17Networks_LH_ContA_PFCl_1,1.9942348352497867,0.560167076337541
17Networks_LH_ContA_PFCl_2,17Networks_LH_ContA_PFCl_2,1.859864432177034,0.5858818393761083
17Networks_LH_ContA_PFCl_3,17Networks_LH_ContA_PFCl_3,2.016516829495302,0.5450218305177446
17Networks_LH_ContA_Cingm_1,17Networks_LH_ContA_Cingm_1,1.6234325025695024,0.13342413746865356
17Networks_LH_ContB_Temp_1,17Networks_LH_ContB_Temp_1,1.694070711596346,0.3556645178053617
17Networks_LH_ContB_IPL_1,17Networks_LH_ContB_IPL_1,1.5739829209871874,0.09989180777397144
17Networks_LH_ContB_PFCl_1,17Networks_LH_ContB_PFCl_1,1.619254352724735,0.15069006745040325
17Networks_LH_ContB_PFClv_1,17Networks_LH_ContB_PFClv_1,1.6317487529967123,0.15160983173687326
17Networks_LH_ContB_PFClv_2,17Networks_LH_ContB_PFClv_2,1.8735498870121097,0.3320255018637035
17Networks_LH_ContC_pCun_1,17Networks_LH_ContC_pCun_1,2.127840622880128,0.668752131623443
17Networks_LH_ContC_pCun_2,17Networks_LH_ContC_pCun_2,1.9808589940057164,0.41543248510261765
17Networks_LH_ContC_Cingp_1,17Networks_LH_ContC_Cingp_1,1.9276225352786271,0.16269121779223195
17Networks_LH_DefaultA_IPL_1,17Networks_LH_DefaultA_IPL_1,1.6427991425504647,0.32972712743954946
17Networks_LH_DefaultA_PFCd_1,17Networks_LH_DefaultA_PFCd_1,1.9616604203112984,0.503930308940453
17Networks_LH_DefaultA_pCunPCC_1,17Networks_LH_DefaultA_pCunPCC_1,2.3243023175970787,0.7679290345645575
17Networks_LH_DefaultA_pCunPCC_2,17Networks_LH_DefaultA_pCunPCC_2,2.1032984495994533,0.7338877111842923
17Networks_LH_DefaultA_pCunPCC_3,17Networks_LH_DefaultA_pCunPCC_3,2.1217423765219174,0.8479369692601666
17Networks_LH_DefaultA_PFCm_1,17Networks_LH_DefaultA_PFCm_1,1.8235838914736264,0.668217252287127
17Networks_LH_DefaultA_PFCm_2,17Networks_LH_DefaultA_PFCm_2,1.5628329533192922,0.2537197407281828
17Networks_LH_DefaultA_PFCm_3,17Networks_LH_DefaultA_PFCm_3,1.8278600498616226,0.6846858182060973
17Networks_LH_DefaultB_Temp_1,17Networks_LH_DefaultB_Temp_1,1.318354909893372,0.40860615790353316
17Networks_LH_DefaultB_Temp_2,17Networks_LH_DefaultB_Temp_2,1.6125321175788683,0.3736057080552557
17Networks_LH_DefaultB_Temp_3,17Networks_LH_DefaultB_Temp_3,1.562965540172946,0.548110970641376
17Networks_LH_DefaultB_Temp_4,17Networks_LH_DefaultB_Temp_4,1.7461079240432162,0.6292200015441767
17Networks_LH_DefaultB_IPL_1,17Networks_LH_DefaultB_IPL_1,1.660287282776137,0.3227980976271443
17Networks_LH_DefaultB_PFCd_1,17Networks_LH_DefaultB_PFCd_1,1.6800565436319648,0.3094647914964277
17Networks_LH_DefaultB_PFCd_2,17Networks_LH_DefaultB_PFCd_2,1.570489183326295,0.06620916277329691
17Networks_LH_DefaultB_PFCd_3,17Networks_LH_DefaultB_PFCd_3,2.133038219824418,0.34586728609766926
17Networks_LH_DefaultB_PFCd_4,17Networks_LH_DefaultB_PFCd_4,1.7574432784463605,0.3791787367783226
17Networks_LH_DefaultB_PFCv_1,17Networks_LH_DefaultB_PFCv_1,1.7468507797784105,0.5786782539737625
17Networks_LH_DefaultB_PFCv_2,17Networks_LH_DefaultB_PFCv_2,1.78204232844488,0.535004060366363
17Networks_LH_DefaultB_PFCv_3,17Networks_LH_DefaultB_PFCv_3,1.6087085339407017,0.5294581446445441
17Networks_LH_DefaultB_PFCv_4,17Networks_LH_DefaultB_PFCv_4,1.7105182358185342,0.47272858420523844
17Networks_LH_DefaultC_IPL_1,17Networks_LH_DefaultC_IPL_1,1.46935676236261,0.2369273193607011
17Networks_LH_DefaultC_Rsp_1,17Networks_LH_DefaultC_Rsp_1,2.0855580656081045,0.5736310591143052
17Networks_LH_DefaultC_PHC_1,17Networks_LH_DefaultC_PHC_1,1.5050358633031284,0.5611435726035605
17Networks_LH_TempPar_1,17Networks_LH_TempPar_1,1.7595954294571952,0.5518294168587199
17Networks_LH_TempPar_2,17Networks_LH_TempPar_2,1.9372670885507985,0.576292040750821
17Networks_RH_VisCent_ExStr_1,17Networks_RH_VisCent_ExStr_1,1.98701128884364,0.7217567266778764
17Networks_RH_VisCent_ExStr_2,17Networks_RH_VisCent_ExStr_2,1.6833659936109973,0.285523714384573
17Networks_RH_VisCent_Striate_1,17Networks_RH_VisCent_Striate_1,2.1431217948579837,0.26103841568917474
17Networks_RH_VisCent_ExStr_3,17Networks_RH_VisCent_ExStr_3,1.7874533498660388,-0.09685787665511636
17Networks_RH_VisCent_ExStr_4,17Networks_RH_VisCent_ExStr_4,1.782197839144561,0.35249215613074303
17Networks_RH_VisCent_ExStr_5,17Networks_RH_VisCent_ExStr_5,1.795563457409893,0.3735111675474432
17Networks_RH_VisPeri_ExStrInf_1,17Networks_RH_VisPeri_ExStrInf_1,2.091220300242778,0.6839380142082017
17Networks_RH_VisPeri_ExStrInf_2,17Networks_RH_VisPeri_ExStrInf_2,1.771530682527624,0.5511333066857025
17Networks_RH_VisPeri_StriCal_1,17Networks_RH_VisPeri_StriCal_1,2.544580107150704,0.6575454263035754
17Networks_RH_VisPeri_ExStrSup_1,17Networks_RH_VisPeri_ExStrSup_1,2.0917239634507703,0.42824233041283666
17Networks_RH_VisPeri_ExStrSup_2,17Networks_RH_VisPeri_ExStrSup_2,2.109902180867542,0.8680651755505875
17Networks_RH_VisPeri_ExStrSup_3,17Networks_RH_VisPeri_ExStrSup_3,1.6617654553780588,0.007770958853344556
17Networks_RH_SomMotA_1,17Networks_RH_SomMotA_1,1.6114102912140233,0.3087107989299458
17Networks_RH_SomMotA_2,17Networks_RH_SomMotA_2,1.9222797427776197,0.45756845429363047
17Networks_RH_SomMotA_3,17Networks_RH_SomMotA_3,1.9345090571545078,0.6617774745767062
17Networks_RH_SomMotA_4,17Networks_RH_SomMotA_4,1.8347103887518084,0.5184324813647745
17Networks_RH_SomMotA_5,17Networks_RH_SomMotA_5,1.7130401448195658,0.29080294754032665
17Networks_RH_SomMotA_6,17Networks_RH_SomMotA_6,1.8055583002384552,0.34035986161203846
17Networks_RH_SomMotA_7,17Networks_RH_SomMotA_7,1.855742956734664,0.30685421362007514
17Networks_RH_SomMotA_8,17Networks_RH_SomMotA_8,1.8767047061780555,0.34633030965552214
17Networks_RH_SomMotA_9,17Networks_RH_SomMotA_9,1.8598317474029031,0.3434079470870781
17Networks_RH_SomMotA_10,17Networks_RH_SomMotA_10,1.8974098147608425,0.4575562737853698
17Networks_RH_SomMotA_11,17Networks_RH_SomMotA_11,1.928981657165378,0.23817242812866035
17Networks_RH_SomMotB_Aud_1,17Networks_RH_SomMotB_Aud_1,2.039129521506191,0.5927709261449134
17Networks_RH_SomMotB_Aud_2,17Networks_RH_SomMotB_Aud_2,1.6966818449064789,0.4733580935963646
