Variable	r	p	n	p	p_Bonferroni	method
ABETA	-0.31872956689096216	9.020005030742144e-13	479	Spearman	0.05	0.01	zero-order
ABETA	-0.2728449794237923	1.372088467143796e-09	479	Spearman	0.05	0.01	partial
AV45	0.207228708364818	1.38036597300509e-05	433	Spearman	0.05	0.01	zero-order
AV45	0.18579742126852844	0.0001045050135109749	433	Spearman	0.05	0.01	partial
TAU	0.12737944317460642	0.0052394279027844284	479	Spearman	0.05	0.01	zero-order
TAU	0.12411822697295823	0.006644144418840948	479	Spearman	0.05	0.01	partial
PTAU	0.14653470978938649	0.0012996090825488148	479	Spearman	0.05	0.01	zero-order
PTAU	0.13865322974435518	0.002405685350206488	479	Spearman	0.05	0.01	partial
TAU_METAROI	0.20979020979020982	0.5128409431818263	12	Spearman	0.05	0.01	zero-order
TAU_METAROI	0.10475135064968816	0.773354266998078	12	Spearman	0.05	0.01	partial
