Variable	r	p	n	p	p_Bonferroni	method
ABETA	-0.22218009815043105	9.039903932831083e-07	479	Spearman	0.05	0.01	zero-order
ABETA	-0.22386107347583342	7.844662245106133e-07	479	Spearman	0.05	0.01	partial
AV45	0.11306227524658574	0.018601439174128674	433	Spearman	0.05	0.01	zero-order
AV45	0.11241917356924942	0.019569055210976242	433	Spearman	0.05	0.01	partial
TAU	0.01869263883171703	0.6832185120755234	479	Spearman	0.05	0.01	zero-order
TAU	0.02103854354518531	0.646712577143012	479	Spearman	0.05	0.01	partial
PTAU	0.03734405797562664	0.41480696031811826	479	Spearman	0.05	0.01	zero-order
PTAU	0.03913309150806615	0.39379026307047493	479	Spearman	0.05	0.01	partial
TAU_METAROI	0.18181818181818185	0.5717012385276553	12	Spearman	0.05	0.01	zero-order
TAU_METAROI	0.14381468034157105	0.6918316935601232	12	Spearman	0.05	0.01	partial
