Variable	r	p	n	p	p_Bonferroni	method
ABETA	-0.07626713641583267	0.2150390460054364	266	Spearman	0.05	0.01	zero-order
ABETA	-0.1102798089704895	0.07364831892032131	266	Spearman	0.05	0.01	partial
AV45	-0.05364138013138769	0.39366484063612894	255	Spearman	0.05	0.01	zero-order
AV45	0.059447185298995765	0.34633802268724345	255	Spearman	0.05	0.01	partial
TAU	-0.12332293100294921	0.04447979080255007	266	Spearman	0.05	0.01	zero-order
TAU	-0.06496526150479195	0.29295416183690304	266	Spearman	0.05	0.01	partial
PTAU	-0.13904197301657154	0.023325906867310963	266	Spearman	0.05	0.01	zero-order
PTAU	-0.07947645001385552	0.19800753642802676	266	Spearman	0.05	0.01	partial
TAU_METAROI	0.9110565759084998	0.27053585256939816	3	Pearson	0.05	0.01	zero-order
TAU_METAROI	-0.999988988296439	nan	3	Pearson	0.05	0.01	partial
