Variable	r	p	n	p	p_Bonferroni	method
ABETA	-0.08778205887182779	0.15337907544912407	266	Spearman	0.05	0.01	zero-order
ABETA	-0.09123991642404151	0.13926755159194731	266	Spearman	0.05	0.01	partial
AV45	0.01433100074017956	0.8198521952160853	255	Spearman	0.05	0.01	zero-order
AV45	0.02724635342479053	0.6662402300999111	255	Spearman	0.05	0.01	partial
TAU	-0.033603385874298786	0.5853218569853504	266	Spearman	0.05	0.01	zero-order
TAU	-0.04536946450210853	0.4629203216211153	266	Spearman	0.05	0.01	partial
PTAU	-0.0373641808964277	0.5440278735850634	266	Spearman	0.05	0.01	zero-order
PTAU	-0.04932232243899457	0.42482639931900656	266	Spearman	0.05	0.01	partial
TAU_METAROI	0.7372134754427142	0.472282396736357	3	Pearson	0.05	0.01	zero-order
TAU_METAROI	0.9973330089010758	nan	3	Pearson	0.05	0.01	partial
