Variable	r	p	n	p	p_Bonferroni	method
ABETA	-0.30104002420214526	1.7193321133676257e-11	479	Spearman	0.05	0.01	zero-order
ABETA	-0.2557774223407987	1.4605990096660725e-08	479	Spearman	0.05	0.01	partial
AV45	0.1841171691801208	0.00011661025862669079	433	Spearman	0.05	0.01	zero-order
AV45	0.16845188636824945	0.00044453843906729215	433	Spearman	0.05	0.01	partial
TAU	0.10506502094813687	0.02145837660513545	479	Spearman	0.05	0.01	zero-order
TAU	0.10884808089969797	0.017401618628038323	479	Spearman	0.05	0.01	partial
PTAU	0.1246816642744422	0.0062887902129129605	479	Spearman	0.05	0.01	zero-order
PTAU	0.12296946428144404	0.007169668874229499	479	Spearman	0.05	0.01	partial
TAU_METAROI	0.20979020979020982	0.5128409431818263	12	Spearman	0.05	0.01	zero-order
TAU_METAROI	0.10475135064968816	0.773354266998078	12	Spearman	0.05	0.01	partial
