Variable	r	p	n	p	p_Bonferroni	method
ABETA	-0.06783827054398026	0.24785285887179917	292	Spearman	0.05	0.01	zero-order
ABETA	-0.08734245726066617	0.13786157532230497	292	Spearman	0.05	0.01	partial
AV45	-0.041824121194969976	0.48343828520654264	283	Spearman	0.05	0.01	zero-order
AV45	0.03223249797968684	0.5905449577731983	283	Spearman	0.05	0.01	partial
TAU	-0.08239661744067013	0.16021651189995156	292	Spearman	0.05	0.01	zero-order
TAU	-0.07274679365578754	0.21678587337260244	292	Spearman	0.05	0.01	partial
PTAU	-0.09108769299545375	0.1204085462207386	292	Spearman	0.05	0.01	zero-order
PTAU	-0.08205829455226359	0.16340259427313047	292	Spearman	0.05	0.01	partial
TAU_METAROI	0.692649487464958	0.5128865952758468	3	Pearson	0.05	0.01	zero-order
TAU_METAROI	0.9983569814403708	nan	3	Pearson	0.05	0.01	partial
