Variable	r	p	n	p	p_Bonferroni	method
ABETA	-0.12731307573531653	0.029626101595000655	292	Spearman	0.05	0.01	zero-order
ABETA	-0.1313990555418232	0.02524115953792831	292	Spearman	0.05	0.01	partial
AV45	-0.06589058890252518	0.26926955004479036	283	Spearman	0.05	0.01	zero-order
AV45	-0.05385698717014279	0.36842031687862054	283	Spearman	0.05	0.01	partial
TAU	-0.05588134039930536	0.3413259227865909	292	Spearman	0.05	0.01	zero-order
TAU	-0.05266387940467517	0.37154640467582545	292	Spearman	0.05	0.01	partial
PTAU	-0.07307447324079201	0.2131294516932331	292	Spearman	0.05	0.01	zero-order
PTAU	-0.07030178051813461	0.23267250852017635	292	Spearman	0.05	0.01	partial
TAU_METAROI	0.8896565237855387	0.3018875832391635	3	Pearson	0.05	0.01	zero-order
TAU_METAROI	-0.995568031512209	nan	3	Pearson	0.05	0.01	partial
