Variable	r	p	n	p	p_Bonferroni	method
ABETA	-0.2477709462001403	3.918914734032402e-08	479	Spearman	0.05	0.01	zero-order
ABETA	-0.23316580087753522	2.6019166487763133e-07	479	Spearman	0.05	0.01	partial
AV45	0.15622882543466615	0.0011079982088013057	433	Spearman	0.05	0.01	zero-order
AV45	0.14499393368202168	0.0025497783190990184	433	Spearman	0.05	0.01	partial
TAU	0.0281846157407501	0.5383163285472223	479	Spearman	0.05	0.01	zero-order
TAU	0.027445370348833688	0.5498693664371965	479	Spearman	0.05	0.01	partial
PTAU	0.05227946463886775	0.25346086487118225	479	Spearman	0.05	0.01	zero-order
PTAU	0.049787447806886	0.2778355573052041	479	Spearman	0.05	0.01	partial
TAU_METAROI	0.37762237762237766	0.22620604493502663	12	Spearman	0.05	0.01	zero-order
TAU_METAROI	0.3188596658197945	0.3691895213026666	12	Spearman	0.05	0.01	partial
