Model	Variable	r	p	n	p	p_Bonferroni	method
0	ABETA	-0.31872956689096216	9.020005030742144e-13	479	Spearman	0.05	0.01	zero-order
0	ABETA	-0.2728449794237923	1.372088467143796e-09	479	Spearman	0.05	0.01	partial
0	AV45	0.207228708364818	1.38036597300509e-05	433	Spearman	0.05	0.01	zero-order
0	AV45	0.18579742126852844	0.0001045050135109749	433	Spearman	0.05	0.01	partial
0	TAU	0.12737944317460642	0.0052394279027844284	479	Spearman	0.05	0.01	zero-order
0	TAU	0.12411822697295823	0.006644144418840948	479	Spearman	0.05	0.01	partial
0	PTAU	0.14653470978938649	0.0012996090825488148	479	Spearman	0.05	0.01	zero-order
0	PTAU	0.13865322974435518	0.002405685350206488	479	Spearman	0.05	0.01	partial
0	TAU_METAROI	0.20979020979020982	0.5128409431818263	12	Spearman	0.05	0.01	zero-order
0	TAU_METAROI	0.10475135064968816	0.773354266998078	12	Spearman	0.05	0.01	partial
Model	Variable	r	p	n	p	p_Bonferroni	method
1	ABETA	-0.31615227527961776	1.4030586246361113e-12	479	Spearman	0.05	0.01	zero-order
1	ABETA	-0.2693018955845986	2.273070635206281e-09	479	Spearman	0.05	0.01	partial
1	AV45	0.1967311496850348	3.752224777732362e-05	433	Spearman	0.05	0.01	zero-order
1	AV45	0.17282359895255442	0.00031257271730863545	433	Spearman	0.05	0.01	partial
1	TAU	0.12490484902426051	0.00619531708492561	479	Spearman	0.05	0.01	zero-order
1	TAU	0.12106911599243189	0.00812105395070481	479	Spearman	0.05	0.01	partial
1	PTAU	0.1456164343140045	0.0013949497651742954	479	Spearman	0.05	0.01	zero-order
1	PTAU	0.1372441464564474	0.0026661398094504195	479	Spearman	0.05	0.01	partial
1	TAU_METAROI	0.22377622377622378	0.48445166145539886	12	Spearman	0.05	0.01	zero-order
1	TAU_METAROI	0.1172207699629254	0.7470740108908639	12	Spearman	0.05	0.01	partial
Model	Variable	r	p	n	p	p_Bonferroni	method
2	ABETA	-0.30482362615163755	9.305259837915229e-12	479	Spearman	0.05	0.01	zero-order
2	ABETA	-0.2658135548676663	3.709923850332228e-09	479	Spearman	0.05	0.01	partial
2	AV45	0.17602988946950804	0.00023219308447863535	433	Spearman	0.05	0.01	zero-order
2	AV45	0.16259381853664281	0.0007032576903951657	433	Spearman	0.05	0.01	partial
2	TAU	0.1282201948218658	0.004946252498382232	479	Spearman	0.05	0.01	zero-order
2	TAU	0.13168725939577958	0.003962851270990165	479	Spearman	0.05	0.01	partial
2	PTAU	0.14577404794643184	0.0013781413434284235	479	Spearman	0.05	0.01	zero-order
2	PTAU	0.14436760082128547	0.0015704524288350584	479	Spearman	0.05	0.01	partial
2	TAU_METAROI	0.2027972027972028	0.5273023541661082	12	Spearman	0.05	0.01	zero-order
2	TAU_METAROI	0.061797139382961816	0.8653338176069945	12	Spearman	0.05	0.01	partial
Model	Variable	r	p	n	p	p_Bonferroni	method
3	ABETA	-0.3067760435370262	6.755001066868531e-12	479	Spearman	0.05	0.01	zero-order
3	ABETA	-0.269243645964889	2.2918736563393093e-09	479	Spearman	0.05	0.01	partial
3	AV45	0.21659444403056116	5.4129629978531545e-06	433	Spearman	0.05	0.01	zero-order
3	AV45	0.20206359144935335	2.374160312108646e-05	433	Spearman	0.05	0.01	partial
3	TAU	0.13809848073453573	0.0024531462400591984	479	Spearman	0.05	0.01	zero-order
3	TAU	0.1383440823239109	0.002460754282769255	479	Spearman	0.05	0.01	partial
3	PTAU	0.15701871876173917	0.0005627483995984007	479	Spearman	0.05	0.01	zero-order
3	PTAU	0.15305537005600917	0.0007971281746741095	479	Spearman	0.05	0.01	partial
3	TAU_METAROI	0.18181818181818185	0.5717012385276553	12	Spearman	0.05	0.01	zero-order
3	TAU_METAROI	0.025135318438410693	0.9450512154640277	12	Spearman	0.05	0.01	partial
Model	Variable	r	p	n	p	p_Bonferroni	method
4	ABETA	-0.3188116288187273	8.893387534542098e-13	479	Spearman	0.05	0.01	zero-order
4	ABETA	-0.2792824137870264	5.381411445360323e-10	479	Spearman	0.05	0.01	partial
4	AV45	0.19466986302827768	4.538797034231578e-05	433	Spearman	0.05	0.01	zero-order
4	AV45	0.17261756990318397	0.0003178648756026678	433	Spearman	0.05	0.01	partial
4	TAU	0.12075612180487501	0.008153185714559082	479	Spearman	0.05	0.01	zero-order
4	TAU	0.11437911687290486	0.012428729623827914	479	Spearman	0.05	0.01	partial
4	PTAU	0.1413376090831448	0.0019298411029712126	479	Spearman	0.05	0.01	zero-order
4	PTAU	0.13138454430114066	0.004047667174789783	479	Spearman	0.05	0.01	partial
4	TAU_METAROI	0.11188811188811189	0.729194990751066	12	Spearman	0.05	0.01	zero-order
4	TAU_METAROI	0.0656543767103912	0.8569985205670061	12	Spearman	0.05	0.01	partial
