Model	Variable	r	p	n	p	p_Bonferroni	method
0	ABETA	-0.22218009815043105	9.039903932831083e-07	479	Spearman	0.05	0.01	zero-order
0	ABETA	-0.22386107347583342	7.844662245106133e-07	479	Spearman	0.05	0.01	partial
0	AV45	0.11306227524658574	0.018601439174128674	433	Spearman	0.05	0.01	zero-order
0	AV45	0.11241917356924942	0.019569055210976242	433	Spearman	0.05	0.01	partial
0	TAU	0.01869263883171703	0.6832185120755234	479	Spearman	0.05	0.01	zero-order
0	TAU	0.02103854354518531	0.646712577143012	479	Spearman	0.05	0.01	partial
0	PTAU	0.03734405797562664	0.41480696031811826	479	Spearman	0.05	0.01	zero-order
0	PTAU	0.03913309150806615	0.39379026307047493	479	Spearman	0.05	0.01	partial
0	TAU_METAROI	0.18181818181818185	0.5717012385276553	12	Spearman	0.05	0.01	zero-order
0	TAU_METAROI	0.14381468034157105	0.6918316935601232	12	Spearman	0.05	0.01	partial
Model	Variable	r	p	n	p	p_Bonferroni	method
1	ABETA	-0.2078248957105681	4.5017685510176375e-06	479	Spearman	0.05	0.01	zero-order
1	ABETA	-0.18602264332932117	4.353504317582832e-05	479	Spearman	0.05	0.01	partial
1	AV45	0.13702493587765135	0.004282761786544697	433	Spearman	0.05	0.01	zero-order
1	AV45	0.10884801581714468	0.023827499467324098	433	Spearman	0.05	0.01	partial
1	TAU	0.055472029366496235	0.22557905258760366	479	Spearman	0.05	0.01	zero-order
1	TAU	0.037730699870965924	0.4109735259101831	479	Spearman	0.05	0.01	partial
1	PTAU	0.06891706577576723	0.1320225163324877	479	Spearman	0.05	0.01	zero-order
1	PTAU	0.05100384319245458	0.2662491876553689	479	Spearman	0.05	0.01	partial
1	TAU_METAROI	0.17482517482517487	0.5868236643627043	12	Spearman	0.05	0.01	zero-order
1	TAU_METAROI	0.17295279069299324	0.6327810903247988	12	Spearman	0.05	0.01	partial
Model	Variable	r	p	n	p	p_Bonferroni	method
2	ABETA	-0.17284069232934032	0.00014378320101471892	479	Spearman	0.05	0.01	zero-order
2	ABETA	-0.13476183254236465	0.003188209450632282	479	Spearman	0.05	0.01	partial
2	AV45	0.11496126052298293	0.016701529158997995	433	Spearman	0.05	0.01	zero-order
2	AV45	0.08781120208175465	0.06857142805564344	433	Spearman	0.05	0.01	partial
2	TAU	0.02695013027011181	0.5562650446838221	479	Spearman	0.05	0.01	zero-order
2	TAU	0.01913724631264919	0.6767476516157607	479	Spearman	0.05	0.01	partial
2	PTAU	0.04537241707386045	0.321715018135431	479	Spearman	0.05	0.01	zero-order
2	PTAU	0.03463501246763282	0.45043989609477675	479	Spearman	0.05	0.01	partial
2	TAU_METAROI	0.9020979020979022	5.9978574465377e-05	12	Spearman	0.05	0.01	zero-order
2	TAU_METAROI	0.8900255891653519	0.0005593035329461872	12	Spearman	0.05	0.01	partial
Model	Variable	r	p	n	p	p_Bonferroni	method
3	ABETA	-0.224484998869547	6.914546559496925e-07	479	Spearman	0.05	0.01	zero-order
3	ABETA	-0.16904941692442318	0.0002079671521451433	479	Spearman	0.05	0.01	partial
3	AV45	0.15055670260356246	0.0016794005715569217	433	Spearman	0.05	0.01	zero-order
3	AV45	0.096155473536842	0.04603555791301791	433	Spearman	0.05	0.01	partial
3	TAU	0.09109194694773678	0.04630745988742636	479	Spearman	0.05	0.01	zero-order
3	TAU	0.058474415427510924	0.20236559628062092	479	Spearman	0.05	0.01	partial
3	PTAU	0.11227064166032036	0.013951089128397404	479	Spearman	0.05	0.01	zero-order
3	PTAU	0.0786956958296042	0.08599855323560224	479	Spearman	0.05	0.01	partial
3	TAU_METAROI	0.3706293706293707	0.2356210035126457	12	Spearman	0.05	0.01	zero-order
3	TAU_METAROI	0.3115326118678128	0.380899173927164	12	Spearman	0.05	0.01	partial
Model	Variable	r	p	n	p	p_Bonferroni	method
4	ABETA	-0.23781180123065698	1.3873634982844312e-07	479	Spearman	0.05	0.01	zero-order
4	ABETA	-0.21624556498195444	1.869880053398596e-06	479	Spearman	0.05	0.01	partial
4	AV45	0.15485369816555095	0.0012271138156621406	433	Spearman	0.05	0.01	zero-order
4	AV45	0.1318384180458169	0.006124092086233241	433	Spearman	0.05	0.01	partial
4	TAU	0.030989778152404827	0.49863765457261444	479	Spearman	0.05	0.01	zero-order
4	TAU	0.019372087089770024	0.6730087401668815	479	Spearman	0.05	0.01	partial
4	PTAU	0.04981251375265585	0.2765830927943846	479	Spearman	0.05	0.01	zero-order
4	PTAU	0.03717020478049032	0.4179634532243246	479	Spearman	0.05	0.01	partial
4	TAU_METAROI	0.32867132867132864	0.2969041156887641	12	Spearman	0.05	0.01	zero-order
4	TAU_METAROI	0.28349056987607474	0.42734552958140903	12	Spearman	0.05	0.01	partial
